Age;Female;Male;Year
18 to 19 years;8958;8642;2022
20 to 24 years;37332;34013;2022
25 to 29 years;57271;44498;2022
30 to 34 years;71955;56783;2022
35 to 39 years;74559;64696;2022
40 to 44 years;62887;57150;2022
45 to 49 years;49326;44532;2022
50 to 54 years;43812;37441;2022
55 to 59 years;38797;32179;2022
60 to 64 years;29551;24104;2022
65 to 74 years;38366;30097;2022
75 years and over;13210;9190;2022
18 to 19 years;3227;3059;2021
20 to 24 years;28434;25336;2021
25 to 29 years;46878;34766;2021
30 to 34 years;63591;45398;2021
35 to 39 years;66970;51825;2021
40 to 44 years;58421;48665;2021
45 to 49 years;45735;39256;2021
50 to 54 years;39880;31570;2021
55 to 59 years;35833;27361;2021
60 to 64 years;25893;20019;2021
65 to 74 years;31155;23630;2021
75 years and over;10008;6883;2021
18 to 19 years;4418;4064;2020
20 to 24 years;22673;20264;2020
25 to 29 years;36839;28355;2020
30 to 34 years;48482;36221;2020
35 to 39 years;50915;39365;2020
40 to 44 years;43277;38281;2020
45 to 49 years;33501;29572;2020
50 to 54 years;28927;23640;2020
55 to 59 years;25780;19988;2020
60 to 64 years;19484;15269;2020
65 to 74 years;25021;18762;2020
75 years and over;9016;6051;2020
18 to 19 years;6057;5449;2019
20 to 24 years;30586;26916;2019
25 to 29 years;48699;38225;2019
30 to 34 years;62392;47075;2019
35 to 39 years;66379;52327;2019
40 to 44 years;58315;52166;2019
45 to 49 years;45306;41115;2019
50 to 54 years;38555;32790;2019
55 to 59 years;33873;27180;2019
60 to 64 years;26225;20578;2019
65 to 74 years;34594;26075;2019
75 years and over;13580;8896;2019
18 to 19 years;4769;4597;2018
20 to 24 years;26498;23167;2018
25 to 29 years;43247;33889;2018
30 to 34 years;53765;39547;2018
35 to 39 years;57744;45293;2018
40 to 44 years;51964;46413;2018
45 to 49 years;42375;37842;2018
50 to 54 years;36859;31515;2018
55 to 59 years;32206;25805;2018
60 to 64 years;25143;19941;2018
65 to 74 years;32733;24589;2018
75 years and over;13108;8779;2018
