State,2018,2019,2020,2021,2022
Alabama,2468,2982,3490,1614,3998
Alaska,1379,1144,624,890,1184
Arizona,12072,14277,13672,17512,16396
Arkansas,2070,2327,2182,2074,2528
California,163059,148765,112738,171863,181995
Colorado,7973,10840,8263,8819,9523
Connecticut,10152,8460,6813,11705,11070
Delaware,1546,1547,1034,1808,2416
District of Columbia,1606,2090,1464,1822,2424
Florida,95978,96149,78641,109235,105528
Georgia,16590,25858,18694,16476,28440
Guam,849,578,473,714,751
Hawaii,2666,4110,2522,3801,4397
Idaho,2103,1660,1390,1537,2545
Illinois,26477,30472,19835,22684,32519
Indiana,6578,7386,5107,6112,8330
Iowa,3610,4984,3539,3304,4097
Kansas,3936,3875,3035,2961,3758
Kentucky,4330,4723,2627,5047,6380
Louisiana,2986,3130,3650,2338,3246
Maine,1124,1076,710,1153,1240
Maryland,12434,19349,19878,19797,22657
Massachusetts,24826,22894,20367,24085,27008
Michigan,14338,16464,9074,11716,16077
Minnesota,8348,14092,12016,9400,13491
Mississippi,1126,1138,972,951,1086
Missouri,5274,5501,4050,4540,4872
Montana,401,361,290,456,349
Nebraska,3168,3662,2705,2655,3197
Nevada,7369,9046,10200,8061,10573
New Hampshire,1815,1585,986,1960,1716
New Jersey,40089,36661,22185,39953,54952
New Mexico,3580,3363,2285,2556,2973
New York,81404,85444,56273,89989,104052
North Carolina,13622,17314,13261,13173,13626
North Dakota,514,719,683,1324,984
Ohio,14002,14004,9553,11284,15867
Oklahoma,4051,3790,2553,3695,4242
Oregon,7757,6715,4398,6422,9799
Pennsylvania,19007,21014,12925,19693,26747
Puerto Rico,1792,1127,1187,1174,1470
Rhode Island,3046,2312,1476,2979,3014
South Carolina,3897,3995,3436,2544,4789
South Dakota,625,780,834,960,651
Tennessee,5518,6720,7449,4625,6717
Texas,64685,97675,66942,77025,106123
Utah,3408,5365,5226,3961,4787
Vermont,693,614,391,591,706
Virginia,18118,23345,17360,20732,27324
Washington,14745,18510,15969,19511,31041
West Virginia,573,492,318,486,660
Wisconsin,4715,5692,3556,5029,6125
Wyoming,256,330,208,227,298
